"year","sex","road_user","Sum(hospitalisations)","Sum(cases)","Sum(bed_days)","Sum(died_cases)"
2011,"Female","Bus occupant",137,138,501,1
2011,"Female","Car driver",5017,5041,19082,24
2011,"Female","Car passenger",2722,2746,10777,24
2011,"Female","Car unknown position",384,387,1929,3
2011,"Female","Heavy transport driver",11,11,42,0
2011,"Female","Heavy transport passenger",17,17,60,0
2011,"Female","Heavy transport unknown position",5,5,9,0
2011,"Female","Motorcyclist",718,722,3132,4
2011,"Female","Other or unknown",183,183,984,0
2011,"Female","Pedal cyclist",1103,1106,2906,3
2011,"Female","Pedestrian",1143,1164,8922,21
2011,"Female","Pick-up truck or van occupant",46,46,188,0
2011,"Male","Bus occupant",72,72,223,0
2011,"Male","Car driver",5802,5856,28178,54
2011,"Male","Car passenger",1973,1991,10535,18
2011,"Male","Car unknown position",495,498,2057,3
2011,"Male","Heavy transport driver",441,442,1973,1
2011,"Male","Heavy transport passenger",34,34,229,0
2011,"Male","Heavy transport unknown position",49,49,224,0
2011,"Male","Motorcyclist",6769,6799,34245,30
2011,"Male","Other or unknown",419,422,1675,3
2011,"Male","Pedal cyclist",4211,4224,12197,13
2011,"Male","Pedestrian",1546,1586,11694,40
2011,"Male","Pick-up truck or van occupant",190,194,1059,4
2012,"Female","Bus occupant",126,126,561,0
2012,"Female","Car driver",4960,4981,19891,21
2012,"Female","Car passenger",2588,2613,10517,25
2012,"Female","Car unknown position",400,402,1663,2
2012,"Female","Heavy transport driver",13,13,21,0
2012,"Female","Heavy transport passenger",11,11,20,0
2012,"Female","Heavy transport unknown position",5,5,10,0
2012,"Female","Motorcyclist",756,758,3876,2
2012,"Female","Other or unknown",194,195,861,1
2012,"Female","Pedal cyclist",1152,1153,2893,1
2012,"Female","Pedestrian",1084,1102,8403,18
2012,"Female","Pick-up truck or van occupant",54,54,400,0
2012,"Male","Bus occupant",83,83,300,0
2012,"Male","Car driver",5681,5738,27096,57
2012,"Male","Car passenger",1961,1978,9155,17
2012,"Male","Car unknown position",480,481,2245,1
2012,"Male","Heavy transport driver",398,399,1983,1
2012,"Male","Heavy transport passenger",35,35,203,0
2012,"Male","Heavy transport unknown position",43,43,160,0
2012,"Male","Motorcyclist",6887,6927,33438,40
2012,"Male","Other or unknown",362,362,1610,0
2012,"Male","Pedal cyclist",4389,4397,12609,8
2012,"Male","Pedestrian",1519,1559,10576,40
2012,"Male","Pick-up truck or van occupant",215,219,1034,4
2013,"Female","Bus occupant",132,132,530,0
2013,"Female","Car driver",5120,5142,16916,22
2013,"Female","Car passenger",2752,2770,11014,18
2013,"Female","Car unknown position",391,391,1350,0
2013,"Female","Heavy transport driver",8,8,15,0
2013,"Female","Heavy transport passenger",8,8,13,0
2013,"Female","Heavy transport unknown position",1,1,4,0
2013,"Female","Motorcyclist",810,813,3662,3
2013,"Female","Other or unknown",175,175,622,0
2013,"Female","Pedal cyclist",1278,1279,3016,1
2013,"Female","Pedestrian",1072,1091,7386,19
2013,"Female","Pick-up truck or van occupant",39,39,151,0
2013,"Male","Bus occupant",85,85,408,0
2013,"Male","Car driver",5657,5695,24789,38
2013,"Male","Car passenger",1895,1907,8111,12
